event,pick,username,user_yield,odd,start,stake,start_time
Grigor Dimitrov - Cameron Norrie,Cameron Norrie ML (FT),renzolo8,+43%(95),1.774,"Tennis / ATP  13 Jun 2022, 08:00",3/10,
New York Liberty Women - Chicago Sky Women,New York Liberty Women +7 AH (FT),a  nba wizard,+34%(69),1.951,"Basketball / WNBA  12 Jun 2022, 20:00",10/10,20:00
Arnett Gardens - Waterhouse,Waterhouse - Draw (Half Time Full Time),Lajos,+22%(250),17,"Football / Jamaica  12 Jun 2222, 22:00",1/10,22:00
Arnett Gardens - Waterhouse,Arnett Gardens - Draw (Half Time Full Time),Lajos,+22%(250),17,"Football / Jamaica  12 Jun 2222, 22:00",1/10,22:00
españa vs republica checa,soucek 35 pases o mas,isonemybet,+21%(2042),8,"Football / UEFA EURO  12 Jun 2022, 23:00",1/10,23:00
The Strongest - Bolivar,Bolivar (Draw No Bet),AmericanInfo2.0,+20%(65),2.1,"Football / Bolivia  12 Jun 2222, 22:00",8/10,22:00
Envigado FC - CD La Equidad Seguros,CD La Equidad Seguros 1X2 (FT),AmericanInfo2.0,+20%(65),2.428,"Football / Colombia  12 Jun 2222, 22:00",7/10,22:00
Anadolu Efes - Fenerbahce,Fenerbahce Money Line (Game Lines),NostraBetmus,+20%(51),2.85,"Basketball / Turkey  13 Jun 2022, 17:30",1/10,
Al Ahly Cairo - Al Masry Salloum,"Al Masry Salloum +2.0, +2.5 (Asian Handicap)",Tintin Bet,+20%(360),1.8,"Football / Egypt  12 Jun 2022, 21:00",1/10,21:00
Montego Bay Utd - Vere United,Over 2.5 (Goals Over Under),vitisport,+19%(95),2.7,"Football / Jamaica  12 Jun 2222, 22:00",10/10,22:00
Molynes United FC - Humble Lions,Over 2.5 (Goals Over Under),vitisport,+19%(95),2,"Football / Jamaica  12 Jun 2222, 22:00",10/10,22:00
Australia - Peru,Peru (Full Time Result),GreekMaster,+17%(196),1.83,"Football / WC Qual.  13 Jun 2022, 18:00",8/10,
Palermo - Padova,Draw (Full Time Result),Miegaz,+16%(51),3,"Football / Ita. Serie C  12 Jun 2022, 21:15",10/10,21:15
Sierra Leone - Guinea-Bissau,Draw or Guinea-Bissau (Double Chance),African  Arabic,+14%(663),1.83,"Football / Africa  13 Jun 2022, 16:00",1/10,
Morocco - Liberia,Morocco Over 2.5 (Team Total Goals),African  Arabic,+14%(663),1.83,"Football / Africa  13 Jun 2022, 19:00",1/10,
England XI - Rest of the World XI,Draw 4-4 (Correct Score),Cascarino,+11%(528),29,"Football / Friendly  12 Jun 2022, 20:30",1/10,20:30
EA7 Emporio Armani Milano - Virtus Pallacanestro Bologna (Canadian Solar),Virtus Pallacanestro Bologna (Canadian Solar) +1 AH (FT),Royal-Wetten,+10%(652),2.439,"Basketball / Italy SeriaA  12 Jun 2022, 20:30",1/10,20:30
Lagomar Women - Defensor Sporting Women,Defensor Sporting Women Spread -16.5 (Game Lines),Andrés Haberlin,+10%(267),1.83,"Basketball / Uruguay  13 Jun 2022, 22:30",7/10,
Remeros de Mercedes Women - Malvin Women,Malvin Women Spread -9.5 (Game Lines),Andrés Haberlin,+10%(267),1.83,"Basketball / Uruguay  12 Jun 2022, 21:00",10/10,21:00
Mtibwa Sugar - Ruvu Shooting,Draw (Full Time Result),Gladiator tips,+10%(193),2.63,"Football / Tanzania  13 Jun 2022, 11:00",1/10,
Anadolu Efes SK - Fenerbahçe SK,Fenerbahçe SK +6 AH (FT),Carlosm245,+10%(1090),1.908,"Basketball / Turkey  13 Jun 2022, 17:30",2/10,
